Index,Left offset,Top offset,Right offset,Bottom offset,Index of palm class
300,50205,9756,50292,9844,3
301,50188,9850,50301,9963,3
302,50198,9977,50298,10078,3
303,50193,10084,50293,10185,3
304,50197,10205,50297,10306,3
305,50295,10156,50382,10244,3
306,50293,10036,50381,10124,3
307,50294,9923,50394,10024,3
308,50300,9813,50388,9901,3
309,50298,9703,50385,9791,3
310,50294,9579,50394,9680,3
311,50369,9624,50481,9737,4
312,50376,9753,50489,9866,4
313,50407,9875,50495,9963,3
314,50393,9980,50480,10068,3
315,50380,10098,50480,10198,3
316,50385,10207,50485,10307,3
317,50305,10277,50380,10352,3
318,50482,10270,50570,10359,3
319,50485,10152,50573,10240,3
320,50489,10052,50564,10127,3
321,50482,9919,50582,10020,3
322,50482,9799,50582,9900,3
323,50489,9703,50589,9804,3
324,50492,9591,50580,9679,3
325,51447,10299,51535,10388,3
326,51449,10386,51549,10487,3
327,51455,10499,51542,10587,3
328,51443,10613,51543,10714,3
329,51451,10732,51538,10820,3
330,51444,10839,51544,10940,3
331,51448,10956,51535,11044,3
332,51530,10989,51630,11089,3
333,51534,10895,51634,10996,3
334,51548,10784,51636,10873,3
335,51348,10907,51436,10995,3
336,51344,10777,51444,10877,3
337,51346,10663,51446,10764,3
338,51344,10554,51444,10655,3
339,51347,10437,51447,10538,3
340,51347,10320,51447,10420,3
341,51250,10272,51350,10372,3
342,51249,10385,51349,10486,3
343,51251,10510,51338,10598,3
344,51255,10616,51342,10704,3
345,51252,10725,51352,10825,3
346,51259,10843,51346,10931,3
347,51244,10946,51344,11046,3
348,51155,11009,51243,11097,3
349,51149,10886,51249,10986,3
350,51158,10785,51246,10873,3
351,51159,10669,51247,10758,3
352,51156,10548,51243,10636,3
353,51155,10433,51255,10533,3
354,51161,10319,51249,10407,3
355,51052,10381,51152,10481,3
356,51059,10502,51147,10590,3
357,51062,10608,51149,10696,3
358,51064,10725,51152,10813,3
359,51065,10840,51153,10928,3
360,51063,10960,51150,11048,3
361,50969,11008,51056,11096,3
362,50970,10900,51057,10988,3
363,50956,10775,51056,10876,3
364,50969,10676,51044,10751,3
365,50962,10549,51050,10637,3
366,50970,10437,51058,10526,3
367,50966,10322,51066,10423,3
368,50866,10383,50966,10484,3
369,50866,10490,50966,10590,3
370,50863,10606,50963,10706,3
371,50863,10715,50963,10815,3
372,50860,10816,50972,10930,3
373,50873,10957,50961,11045,3
374,50758,10983,50870,11096,3
375,50762,10874,50874,10987,3
376,50767,10769,50867,10870,3
377,50767,10656,50867,10757,3
378,50768,10547,50868,10648,3
379,50759,10431,50859,10532,3
380,50761,10319,50861,10420,3
381,50682,10389,50757,10464,3
382,50669,10607,50769,10707,3
383,50667,10716,50767,10817,3
384,50657,10829,50757,10930,3
385,50661,10937,50773,11051,3
386,50577,11009,50677,11110,3
387,50571,10889,50671,10990,3
388,50572,10774,50672,10875,3
389,50574,10664,50674,10765,3
390,50583,10552,50670,10640,3
391,50581,10445,50669,10533,3
392,50579,10329,50666,10417,3
393,50481,10381,50568,10469,3
394,50488,10499,50563,10575,3
395,50494,10623,50569,10699,3
396,50483,10726,50571,10814,3
397,50486,10833,50573,10921,3
398,50478,10953,50578,11054,3
399,50389,11010,50489,11111,3
400,50371,10885,50484,10998,3
401,50372,10776,50472,10876,3
402,50365,10668,50477,10781,3
403,50380,10540,50492,10653,6
404,50395,10444,50482,10532,3
405,50391,10326,50478,10414,3
406,50293,10375,50380,10464,3
407,50296,10494,50396,10595,3
408,50276,10600,50389,10713,3
409,50287,10715,50375,10803,3
410,50286,10827,50386,10928,3
411,50285,10943,50385,11044,3
412,50193,10999,50293,11100,3
413,50194,10887,50294,10988,3
414,50192,10775,50292,10876,3
415,50186,10649,50299,10762,3
416,50185,10531,50298,10644,3
417,50188,10306,50300,10419,3
418,50191,10428,50291,10528,3
419,50091,10247,50204,10360,3
420,50097,10381,50185,10469,3
421,50092,10482,50192,10583,3
422,50088,10587,50188,10688,3
423,50094,10714,50182,10802,3
424,50097,10831,50184,10919,3
425,50093,10945,50180,11033,3
426,49997,10997,50085,11085,3
427,50006,10897,50081,10972,3
428,49999,10767,50099,10868,3
429,49998,10658,50098,10759,3
430,49997,10537,50097,10637,3
431,50001,10406,50101,10507,3
432,51541,11116,51629,11204,3
433,50212,11247,50262,11297,5
434,50101,11638,50176,11713,3
435,51544,11216,51631,11304,3
436,51538,11312,51638,11413,3
437,51530,11408,51630,11509,3
438,51532,11534,51619,11622,3
439,51436,11605,51524,11693,3
440,51446,11482,51533,11570,3
441,51450,11378,51537,11467,3
442,51454,11271,51541,11359,3
443,51450,11177,51538,11265,3
444,51445,11068,51532,11156,3
445,51347,11023,51435,11111,3
446,51350,11112,51437,11200,3
447,51347,11225,51434,11313,3
448,51341,11346,51429,11434,3
449,51344,11462,51431,11550,3
450,51344,11569,51431,11657,3
451,51252,11633,51340,11721,3
452,51248,11505,51348,11606,3
453,51249,11393,51349,11494,3
454,51258,11293,51346,11381,3
455,51257,11069,51344,11157,3
456,51248,11172,51348,11273,3
457,51155,11227,51255,11327,3
458,51160,11121,51248,11209,3
459,51157,11357,51245,11445,3
460,51152,11470,51240,11558,3
461,51156,11566,51243,11654,3
462,51058,11626,51158,11727,3
463,51055,11514,51143,11602,3
464,51055,11392,51155,11492,3
465,51062,11286,51150,11374,3
466,51056,11184,51156,11285,3
467,51054,11067,51154,11167,3
468,50963,11124,51051,11212,3
469,50958,11234,51045,11322,3
470,50966,11345,51053,11433,3
471,50963,11457,51050,11545,3
472,50969,11570,51057,11658,3
473,50858,11623,50958,11724,3
474,50765,11563,50865,11664,3
475,50861,11507,50948,11595,3
476,50848,11397,50948,11498,3
477,50859,11280,50959,11380,3
478,50868,11161,50968,11262,3
479,50860,11053,50960,11154,3
480,50756,11104,50869,11217,3
481,50753,11217,50866,11331,3
482,50760,11324,50872,11437,3
483,50762,11454,50862,11555,3
484,50670,11520,50758,11608,3
485,50667,11390,50780,11504,3
486,50672,11290,50772,11391,3
487,50654,11161,50767,11274,3
488,50660,11053,50772,11167,3
489,50570,11122,50670,11223,3
490,50574,11229,50674,11329,3
491,50582,11342,50669,11430,3
492,50583,11448,50670,11536,3
493,50571,11570,50671,11670,3
494,50677,11618,50777,11718,3
495,50468,11624,50568,11725,3
496,50484,11521,50571,11609,3
497,50471,11398,50571,11498,3
498,50469,11270,50581,11384,3
499,50472,11179,50560,11267,3
500,50477,11057,50577,11157,3
501,50390,11119,50478,11207,3
502,50383,11239,50471,11327,3
503,50380,11346,50480,11446,3
504,50376,11456,50476,11557,3
505,50379,11568,50479,11669,3
506,50298,11632,50386,11720,3
507,50286,11514,50374,11603,3
508,50288,11395,50375,11483,3
509,50292,11283,50380,11371,3
510,50297,11173,50372,11249,3
511,50283,11053,50383,11153,3
512,50211,11130,50273,11193,3
513,50190,11338,50278,11427,3
514,50195,11470,50283,11558,3
515,50201,11583,50276,11659,3
516,50096,11509,50183,11597,3
517,50104,11394,50179,11469,3
518,50097,11280,50185,11368,3
519,50104,11178,50179,11254,3
520,50001,11114,50101,11214,3
521,50002,11224,50090,11312,3
522,49993,11345,50080,11433,3
523,49995,11452,50083,11540,3
524,49990,11569,50077,11657,3
525,49888,11623,49976,11711,3
526,49898,11528,49961,11591,3
527,49915,8096,50028,8209,3
528,49920,8222,50020,8323,3
529,49923,8334,50023,8435,3
530,49920,8454,50033,8567,3
531,49920,8556,50020,8657,3
532,49918,8663,50018,8764,3
533,49912,8767,50024,8881,3
534,49827,8734,49927,8834,3
535,49826,8618,49926,8718,3
536,49825,8503,49925,8604,3
537,49827,8390,49927,8490,3
538,49823,8273,49935,8386,3
539,49824,8154,49936,8268,3
540,49823,8049,49935,8162,3
541,49724,8107,49824,8208,3
542,49718,8220,49831,8333,3
543,49715,8323,49828,8437,3
544,49727,8424,49827,8525,3
545,49725,8552,49825,8653,3
546,49724,8669,49824,8770,3
547,49722,8775,49822,8875,3
548,49618,8710,49731,8823,3
549,49614,8607,49714,8707,3
550,49622,8494,49722,8594,3
551,49625,8384,49725,8485,3
552,49620,8045,49733,8158,3
553,49628,8168,49728,8269,3
554,49617,8286,49717,8386,3
555,49530,8099,49630,8200,3
556,49524,8218,49624,8318,3
557,49515,8325,49628,8438,3
558,49522,8443,49622,8543,3
559,49517,8546,49629,8659,3
560,49517,8668,49617,8769,3
561,48757,8669,48845,8757,3
562,48742,8759,48855,8873,3
563,48643,8818,48755,8931,3
564,48646,8710,48758,8823,3
565,48663,8589,48775,8702,3
566,48653,8479,48753,8580,3
567,48654,8387,48742,8475,3
568,48664,8274,48751,8362,3
569,48655,8148,48768,8261,3
570,48559,8098,48671,8212,3
571,48568,8217,48668,8317,3
572,48556,8329,48656,8429,3
573,48557,8435,48657,8536,3
574,48559,8548,48659,8649,3
575,48551,8651,48651,8752,3
576,48563,8770,48650,8859,3
577,48459,8833,48547,8921,3
578,48459,8709,48559,8810,3
579,48453,8595,48553,8696,3
580,48460,8488,48560,8589,3
581,48467,8382,48567,8482,3
582,48464,8266,48564,8366,3
583,48467,8161,48567,8261,3
584,48466,8047,48566,8148,3
585,49431,9300,49506,9375,3
586,49429,9421,49504,9497,3
587,49917,8888,50017,8989,3
588,49921,8996,50021,9097,3
589,49913,9117,50013,9218,3
590,49918,9232,50018,9332,3
591,49908,9350,50008,9451,3
592,49922,9476,49997,9552,3
593,49816,9530,49916,9631,3
594,49817,9401,49917,9502,3
595,49826,8836,49926,8937,3
596,49821,8924,49921,9025,3
597,49816,9028,49916,9129,3
598,49815,9180,49915,9280,3
599,49816,9292,49916,9392,3
600,49725,8881,49812,8969,3
601,49722,8983,49809,9072,3
602,49724,9091,49812,9179,3
603,49718,9233,49818,9334,3
604,49722,9353,49822,9453,3
605,49623,8827,49710,8916,3
606,49618,8924,49718,9024,3
607,49615,9042,49715,9143,3
608,49622,9185,49710,9273,3
609,49612,9291,49712,9392,3
610,49615,9407,49703,9495,3
611,49609,9516,49696,9604,3
612,49704,9470,49804,9571,3
613,49521,9468,49596,9543,3
614,49518,9354,49605,9442,3
615,49523,9236,49611,9324,3
616,49517,9119,49617,9220,3
617,49510,8984,49610,9084,3
618,49521,8881,49608,8969,3
619,49426,8940,49526,9040,3
620,49423,9064,49510,9152,3
621,49425,9187,49513,9275,3
622,49323,9253,49411,9342,3
623,49316,9117,49416,9217,3
624,49329,9023,49429,9124,3
625,49332,8882,49432,8983,3
626,49234,8843,49321,8931,3
627,49232,8956,49320,9044,3
628,49220,9056,49332,9169,3
629,49229,9181,49317,9270,3
630,49228,9295,49315,9383,3
631,49230,9407,49318,9495,3
632,49218,9528,49306,9616,3
633,49330,9472,49417,9560,3
634,49327,9347,49415,9435,3
635,49137,8881,49237,8981,3
636,49132,9011,49232,9112,3
637,49123,9109,49235,9222,3
638,49125,9219,49238,9333,3
639,49118,9348,49218,9449,3
640,49125,9467,49225,9567,3
641,49014,9512,49126,9626,3
642,49018,9392,49131,9506,3
643,49035,9279,49135,9379,3
644,49026,9167,49139,9281,3
645,49030,9050,49143,9163,3
646,49029,8922,49142,9035,3
647,49041,8826,49141,8927,3
648,48931,8873,49044,8986,3
649,48941,8994,49041,9094,3
650,48936,9087,49049,9201,3
651,48940,9183,49040,9283,3
652,48924,9351,49037,9464,3
653,48925,9454,49038,9567,3
654,48832,9530,48919,9618,3
655,48827,9393,48927,9494,3
656,48844,9248,48944,9349,3
657,48839,9145,48939,9246,3
658,48840,9042,48952,9155,3
659,48847,8926,48959,9039,3
660,48849,8832,48949,8933,3
661,48746,8879,48858,8993,3
662,48741,8986,48853,9099,3
663,48747,9093,48847,9194,3
664,48746,9310,48834,9398,3
665,48739,9465,48827,9553,3
666,48633,9500,48745,9613,3
667,48649,9369,48749,9470,3
668,48640,9259,48752,9372,3
669,48639,9151,48751,9264,3
670,48637,9035,48750,9148,3
671,48647,8924,48759,9038,3
672,48547,8887,48647,8987,6
673,48542,8988,48655,9102,3
674,48542,9091,48654,9204,3
675,48545,9217,48645,9318,3
676,48536,9320,48649,9433,3
677,48545,9402,48645,9503,3
678,48442,9467,48542,9568,3
679,48438,9375,48538,9476,3
680,48452,9265,48540,9353,3
681,48455,9161,48543,9249,3
682,48449,9046,48549,9147,3
683,48453,8933,48553,9034,3
684,48435,9566,48522,9654,3
685,49921,9710,49984,9773,3
686,49328,10047,49391,10110,3
687,49329,10163,49392,10225,3
688,49327,9936,49390,9999,3
689,49224,10102,49299,10177,3
690,49909,10158,49984,10234,6
691,49926,9596,49988,9659,3
692,49915,9811,50003,9899,3
693,49910,9924,49998,10012,3
694,49911,10041,49999,10129,3
695,49823,9647,49898,9722,3
696,49814,9754,49901,9842,3
697,49815,9865,49902,9954,3
698,49812,9983,49900,10071,3
699,49814,10106,49889,10182,3
700,49812,10210,49899,10299,3
701,48437,9756,48525,9844,3
702,48444,9661,48532,9750,3
703,48635,10088,48723,10176,3
704,48634,9980,48722,10068,3
705,48634,9864,48722,9952,3
706,48629,10209,48716,10297,3
707,49421,10319,49496,10394,3
708,49924,10735,49987,10798,3
709,49903,10372,49990,10460,3
710,49905,10488,49993,10576,3
711,49901,10604,49989,10692,3
712,49810,10668,49885,10744,6
713,49612,10772,49687,10848,6
714,49805,10321,49893,10409,3
715,49806,10440,49894,10528,3
716,49805,10549,49892,10637,3
717,49798,10769,49898,10870,3
718,49797,10880,49897,10980,3
719,49793,10995,49893,11096,3
720,49905,10942,50005,11043,3
721,49898,10825,49998,10926,3
722,49712,10374,49800,10462,3
723,49711,10491,49798,10579,3
724,49711,10603,49798,10691,3
725,49708,10719,49796,10807,3
726,49700,10826,49800,10927,3
727,49693,10930,49805,11044,3
728,49598,10879,49698,10980,3
729,49604,10998,49704,11099,3
730,49608,10327,49695,10416,3
731,49609,10426,49697,10514,3
732,49610,10543,49698,10631,3
733,49604,10649,49704,10750,3
734,49506,10361,49606,10462,3
735,49504,10477,49604,10578,3
736,49504,10583,49616,10696,4
737,49518,10720,49605,10808,4
738,49499,10818,49599,10919,4
739,49501,10940,49589,11028,4
740,49504,11053,49591,11141,4
741,49405,10995,49492,11083,3
742,49401,10874,49501,10974,3
743,49400,10759,49500,10860,3
744,49401,10651,49501,10752,3
745,49408,10529,49508,10629,3
746,49417,10418,49505,10506,3
747,49318,10378,49406,10466,3
748,49322,10492,49409,10580,3
749,49312,10602,49412,10703,3
750,49309,10710,49409,10810,3
751,49314,10828,49401,10916,3
752,49313,10941,49401,11029,3
753,49213,11002,49300,11090,3
754,49217,10887,49304,10975,3
755,49213,10773,49301,10861,3
756,49223,10658,49298,10734,3
757,49216,10542,49303,10630,3
758,49220,10427,49308,10515,3
759,49222,10324,49297,10399,3
760,49121,10372,49208,10460,3
761,49122,10484,49210,10572,3
762,49113,10605,49200,10693,3
763,49123,10722,49198,10798,3
764,49118,10832,49205,10920,3
765,49133,10952,49221,11040,3
766,49024,11005,49111,11093,3
767,49026,10889,49114,10977,3
768,49007,10757,49107,10858,3
769,49012,10646,49112,10746,3
770,49013,10535,49113,10636,3
771,49018,10429,49105,10517,3
772,48920,10371,49007,10459,3
773,48927,10497,49002,10572,3
774,48530,10601,48618,10689,3
775,48644,10546,48719,10621,3
776,48830,10320,48917,10408,3
777,48829,10441,48904,10516,3
778,48830,10554,48917,10642,3
779,48824,10645,48924,10746,3
780,48822,10760,48922,10861,3
781,48820,10886,48907,10974,3
782,48821,10994,48909,11082,3
783,48922,10940,49009,11028,3
784,48923,10832,49011,10920,3
785,48923,10717,49011,10805,4
786,48927,10608,49015,10696,3
787,48730,10374,48818,10463,3
788,48730,10497,48818,10585,3
789,48725,10605,48812,10693,3
790,48730,10714,48818,10802,3
791,48722,10825,48822,10926,3
792,48729,10938,48816,11026,3
793,48623,11000,48723,11100,3
794,48629,10894,48717,10982,3
795,48642,10312,48729,10400,3
796,48631,10430,48719,10518,3
797,48631,10650,48718,10738,3
798,48629,10761,48729,10862,3
799,48533,10931,48620,11019,3
800,48531,10817,48619,10905,3
801,48532,10706,48619,10794,3
802,48531,10482,48618,10570,3
803,48522,10364,48622,10465,3
804,48434,10429,48521,10517,3
805,48440,10556,48515,10632,3
806,48439,10665,48527,10753,3
807,48439,10777,48514,10853,3
808,48433,10886,48521,10974,3
809,48437,10998,48525,11086,3
810,48732,11287,48807,11362,3
811,48728,11402,48803,11478,3
812,48630,11457,48705,11533,3
813,48532,11402,48607,11478,3
814,48523,11276,48611,11364,3
815,49020,11352,49095,11428,3
816,49608,11118,49683,11194,3
817,49889,11058,49989,11159,3
818,49884,11166,49984,11267,3
819,49903,11287,49991,11375,3
820,49895,11405,49983,11494,3
821,49793,11106,49893,11207,3
822,49804,11232,49892,11320,3
823,49801,11365,49876,11441,3
824,49804,11462,49879,11538,3
825,49795,11568,49882,11656,3
826,49690,11051,49790,11152,3
827,49702,11167,49790,11255,3
828,49698,11284,49786,11372,3
829,49694,11396,49782,11484,3
830,49695,11514,49783,11603,3
831,49698,11605,49798,11706,3
832,49600,11235,49688,11323,3
833,49597,11340,49697,11441,3
834,49598,11441,49698,11542,3
835,49603,11552,49690,11640,3
836,49496,11162,49596,11262,3
837,49497,11274,49597,11374,3
838,49493,11380,49593,11481,3
839,49505,11496,49592,11584,3
840,49506,11602,49593,11690,3
841,49395,11565,49482,11653,3
842,49398,11436,49498,11537,3
843,49398,11328,49498,11429,3
844,49401,11220,49501,11321,3
845,49402,11100,49502,11201,3
846,49300,11047,49400,11148,3
847,49307,11132,49407,11233,3
848,49306,11280,49394,11368,3
849,49307,11387,49407,11487,3
850,49309,11503,49396,11591,3
851,49201,11108,49301,11209,3
852,49209,11221,49309,11322,3
853,49211,11334,49299,11422,3
854,49216,11455,49291,11530,3
855,49210,11553,49297,11641,3
856,49120,11062,49208,11150,3
857,49120,11174,49208,11262,3
858,49110,11281,49210,11382,3
859,49118,11395,49206,11483,3
860,49024,11124,49099,11200,3
861,49021,11230,49108,11318,3
862,49015,11451,49103,11539,3
863,49015,11568,49103,11656,3
864,49114,11623,49202,11711,3
865,49108,11500,49208,11600,3
866,49297,11609,49397,11710,3
867,48920,11054,49008,11142,3
868,48928,11182,49003,11257,3
869,48917,11289,49005,11377,3
870,48922,11403,48997,11478,3
871,48524,11622,48612,11711,3
